Date,USD/KRW
2020-05-01,1224.89
2020-05-04,1224.14
2020-05-05,1222.47
2020-05-06,1228.55
2020-05-07,1219.61
2020-05-08,1219.65
2020-05-11,1222.91
2020-05-12,1226.64
2020-05-13,1227.37
2020-05-14,1227.03
2020-05-15,1232.69
2020-05-18,1225.13
2020-05-19,1225.04
2020-05-20,1227.26
2020-05-21,1233.19
2020-05-22,1240.59
2020-05-25,1240.45
2020-05-26,1230.9
2020-05-27,1238.19
2020-05-28,1237.97
2020-05-29,1231.49
2020-06-01,1222.92
2020-06-02,1219.62
2020-06-03,1215.79
2020-06-04,1216.39
2020-06-05,1202.02
2020-06-08,1195.35
2020-06-09,1198.4
2020-06-10,1190.67
2020-06-11,1206.1
2020-06-12,1203.66
2020-06-15,1208.55
2020-06-16,1211.79
2020-06-17,1215.41
2020-06-18,1212.5
2020-06-19,1211.83
2020-06-22,1209.41
2020-06-23,1207.46
2020-06-24,1206.08
2020-06-25,1202.21
2020-06-26,1203.8
2020-06-29,1199.16
2020-06-30,1199.28
2020-07-01,1201.51
2020-07-02,1198.75
2020-07-03,1198.93
2020-07-06,1191.92
2020-07-07,1196.75
2020-07-08,1192.05
2020-07-09,1196.98
2020-07-10,1200.42
2020-07-13,1203.37
2020-07-14,1204.89
2020-07-15,1200.5
2020-07-16,1205.11
2020-07-17,1203.44
2020-07-20,1200.9
2020-07-21,1193.92
2020-07-22,1197.22
2020-07-23,1201.45
2020-07-24,1201.5
2020-07-27,1195.57
2020-07-28,1199.46
2020-07-29,1189.79
2020-07-30,1189.62
2020-07-31,1193.59
2020-08-03,1192.59
2020-08-04,1193.2
2020-08-05,1186.05
2020-08-06,1183.5
2020-08-07,1188.68
2020-08-10,1185.58
2020-08-11,1185.62
2020-08-12,1183.23
2020-08-13,1184.92
2020-08-14,1186.94
2020-08-17,1183.19
2020-08-18,1182.7
2020-08-19,1181.74
2020-08-20,1185.24
2020-08-21,1191.72
2020-08-24,1188.66
2020-08-25,1187.35
2020-08-26,1184.39
2020-08-27,1187.44
2020-08-28,1180.48
2020-08-31,1187.94
2020-09-01,1185.45
2020-09-02,1189.13
2020-09-03,1191.48
2020-09-04,1187.3
2020-09-07,1187.27
2020-09-08,1190.1
2020-09-09,1184.79
2020-09-10,1188.11
2020-09-11,1187.89
2020-09-14,1181.51
2020-09-15,1179.76
2020-09-16,1172.88
2020-09-17,1169.2
2020-09-18,1164.81
2020-09-21,1163.61
2020-09-22,1163.61
2020-09-23,1170.65
2020-09-24,1169.1
2020-09-25,1174.32
2020-09-28,1166.85
2020-09-29,1168.73
2020-09-30,1164.65
2020-10-01,1162.83
2020-10-02,1166.26
2020-10-05,1157.12
2020-10-06,1164.37
2020-10-07,1157.26
2020-10-08,1151.11
2020-10-09,1143.52
2020-10-12,1147.79
2020-10-13,1148.3
2020-10-14,1147.14
2020-10-15,1145.14
2020-10-16,1142.13
2020-10-19,1140.06
2020-10-20,1138.39
2020-10-21,1132.54
2020-10-22,1134.74
2020-10-23,1127.95
2020-10-26,1132.44
2020-10-27,1129.21
2020-10-28,1134.93
2020-10-29,1130.06
2020-10-30,1136.49
2020-11-02,1132.95
2020-11-03,1131.32
2020-11-04,1127.65
2020-11-05,1122.88
2020-11-06,1121.4
2020-11-09,1119.06
2020-11-10,1117.07
2020-11-11,1112.39
2020-11-12,1114.86
2020-11-13,1107.62
2020-11-16,1107.04
2020-11-17,1105.38
2020-11-18,1106.17
2020-11-19,1113.59
2020-11-20,1114.95
2020-11-23,1113.51
2020-11-24,1110.24
2020-11-25,1106.21
2020-11-26,1105.57
2020-11-27,1104.43
2020-11-30,1109.32
2020-12-01,1105.73
2020-12-02,1100.02
2020-12-03,1092.08
2020-12-04,1083.77
2020-12-07,1083.53
2020-12-08,1084.86
2020-12-09,1086.48
2020-12-10,1085.55
2020-12-11,1091.67
2020-12-14,1093.07
2020-12-15,1089.43
2020-12-16,1092.36
2020-12-17,1093.01
2020-12-18,1099.39
2020-12-21,1102.55
2020-12-22,1109.72
2020-12-23,1106.65
2020-12-24,1101.59
2020-12-25,1099.07
2020-12-28,1095.6
2020-12-29,1090.97
2020-12-30,1087.62
2020-12-31,1084.47
2021-01-01,1084.73
2021-01-04,1086.48
2021-01-05,1086.42
2021-01-06,1087.93
2021-01-07,1094.28
2021-01-08,1092.93
2021-01-11,1097.23
2021-01-12,1094.48
2021-01-13,1097.12
2021-01-14,1095.88
2021-01-15,1103.27
2021-01-18,1102.52
2021-01-19,1101.44
2021-01-20,1096.35
2021-01-21,1099.88
2021-01-22,1105.41
2021-01-25,1102.58
2021-01-26,1101.02
2021-01-27,1108.38
2021-01-28,1112.52
2021-01-29,1117.64
2021-02-01,1116.51
2021-02-02,1115.37
2021-02-03,1113.46
2021-02-04,1120.0
2021-02-05,1116.77
2021-02-08,1115.61
2021-02-09,1110.88
2021-02-10,1105.48
2021-02-11,1102.12
2021-02-12,1102.59
2021-02-15,1101.31
2021-02-16,1106.58
2021-02-17,1105.61
2021-02-18,1106.96
2021-02-19,1104.27
2021-02-22,1111.59
2021-02-23,1110.13
2021-02-24,1107.27
2021-02-25,1118.77
2021-02-26,1123.89
2021-03-01,1113.33
2021-03-02,1125.01
2021-03-03,1126.05
2021-03-04,1130.87
2021-03-05,1128.0
2021-03-08,1140.83
2021-03-09,1134.91
2021-03-10,1135.91
2021-03-11,1130.35
2021-03-12,1136.0
2021-03-15,1132.35
2021-03-16,1129.0
2021-03-17,1121.21
2021-03-18,1127.75
2021-03-19,1129.12
2021-03-22,1126.0
2021-03-23,1132.9
2021-03-24,1134.9
2021-03-25,1135.12
2021-03-26,1128.52
2021-03-29,1131.56
2021-03-30,1132.59
2021-03-31,1127.17
2021-04-01,1128.72
2021-04-02,1128.64
2021-04-05,1124.18
2021-04-06,1119.17
2021-04-07,1119.03
2021-04-08,1115.83
2021-04-09,1120.98
2021-04-12,1124.32
2021-04-13,1121.37
2021-04-14,1116.08
2021-04-15,1116.68
2021-04-16,1116.5
2021-04-19,1115.33
2021-04-20,1117.28
2021-04-21,1116.35
2021-04-22,1118.79
2021-04-23,1114.72
2021-04-26,1110.27
2021-04-27,1113.33
2021-04-28,1109.88
2021-04-29,1107.63
2021-04-30,1117.16
2021-05-03,1120.34
2021-05-04,1125.77
2021-05-05,1124.72
2021-05-06,1120.28
2021-05-07,1111.23
2021-05-10,1116.68
2021-05-11,1119.58
2021-05-12,1132.73
2021-05-13,1126.73
2021-05-14,1125.79
2021-05-17,1136.73
2021-05-18,1126.93
2021-05-19,1131.18
2021-05-20,1127.66
2021-05-21,1127.63
2021-05-24,1123.48
2021-05-25,1122.36
2021-05-26,1116.61
2021-05-27,1118.55
2021-05-28,1113.08
2021-05-31,1106.58
2021-06-01,1108.38
2021-06-02,1110.92
2021-06-03,1116.46
2021-06-04,1110.52
2021-06-07,1110.62
2021-06-08,1117.72
2021-06-09,1115.61
2021-06-10,1112.32
2021-06-11,1116.4
2021-06-14,1116.33
2021-06-15,1117.09
2021-06-16,1132.68
2021-06-17,1134.3
2021-06-18,1134.94
2021-06-21,1131.4
2021-06-22,1133.57
2021-06-23,1135.85
2021-06-24,1130.78
2021-06-25,1127.12
2021-06-28,1130.04
2021-06-29,1131.62
2021-06-30,1130.48
2021-07-01,1134.33
2021-07-02,1130.53
2021-07-05,1130.42
2021-07-06,1136.75
2021-07-07,1141.5
2021-07-08,1146.59
2021-07-09,1143.73
2021-07-12,1146.85
2021-07-13,1149.94
2021-07-14,1144.22
2021-07-15,1141.59
2021-07-16,1141.51
2021-07-19,1150.83
2021-07-20,1147.47
2021-07-21,1149.31
2021-07-22,1150.55
2021-07-23,1151.52
2021-07-26,1152.54
2021-07-27,1154.25
2021-07-28,1150.27
2021-07-29,1143.12
2021-07-30,1151.41
2021-08-02,1150.18
2021-08-03,1148.44
2021-08-04,1144.76
2021-08-05,1142.59
2021-08-06,1144.93
2021-08-09,1146.89
2021-08-10,1152.7
2021-08-11,1153.98
2021-08-12,1162.98
2021-08-13,1161.37
2021-08-16,1165.28
2021-08-17,1177.3
2021-08-18,1170.03
2021-08-19,1176.28
2021-08-20,1175.15
2021-08-23,1169.36
2021-08-24,1163.65
2021-08-25,1163.87
2021-08-26,1170.53
2021-08-27,1161.23
2021-08-30,1164.34
2021-08-31,1158.73
2021-09-01,1155.47
2021-09-02,1158.05
2021-09-03,1154.28
2021-09-06,1157.04
2021-09-07,1161.98
2021-09-08,1166.54
2021-09-09,1169.64
2021-09-10,1170.23
2021-09-13,1172.83
2021-09-14,1172.23
2021-09-15,1166.23
2021-09-16,1175.19
2021-09-17,1180.69
2021-09-20,1185.67
2021-09-21,1183.96
2021-09-22,1181.75
2021-09-23,1174.63
2021-09-24,1179.68
2021-09-27,1177.94
2021-09-28,1187.16
2021-09-29,1187.11
2021-09-30,1184.23
2021-10-01,1180.35
2021-10-04,1184.12
2021-10-05,1186.48
2021-10-06,1190.21
2021-10-07,1190.88
2021-10-08,1196.79
2021-10-11,1195.3
2021-10-12,1197.29
2021-10-13,1186.18
2021-10-14,1181.69
2021-10-15,1182.07
2021-10-18,1185.47
2021-10-19,1175.13
2021-10-20,1175.63
2021-10-21,1177.78
2021-10-22,1177.48
2021-10-25,1168.02
2021-10-26,1167.95
2021-10-27,1172.05
2021-10-28,1168.44
2021-10-29,1174.47
2021-11-01,1177.45
2021-11-02,1178.48
2021-11-03,1178.78
2021-11-04,1185.75
2021-11-05,1181.05
2021-11-08,1180.84
2021-11-09,1178.4
2021-11-10,1185.04
2021-11-11,1182.39
2021-11-12,1179.2
2021-11-15,1183.42
2021-11-16,1183.85
2021-11-17,1180.46
2021-11-18,1182.37
2021-11-19,1187.1
2021-11-22,1190.08
2021-11-23,1189.08
2021-11-24,1188.77
2021-11-25,1190.16
2021-11-26,1194.43
2021-11-29,1190.69
2021-11-30,1182.71
2021-12-01,1176.93
2021-12-02,1176.74
2021-12-03,1181.0
2021-12-06,1180.54
2021-12-07,1176.73
2021-12-08,1175.19
2021-12-09,1178.15
2021-12-10,1180.86
2021-12-13,1184.91
2021-12-14,1185.19
2021-12-15,1184.57
2021-12-16,1186.29
2021-12-17,1187.7
2021-12-20,1189.53
2021-12-21,1190.67
2021-12-22,1190.21
2021-12-23,1185.55
2021-12-24,1185.99
2021-12-27,1185.61
2021-12-28,1188.09
2021-12-29,1184.7
2021-12-30,1189.36
2021-12-31,1187.96
2022-01-03,1193.0
2022-01-04,1197.49
2022-01-05,1198.2
2022-01-06,1204.95
2022-01-07,1197.63
2022-01-10,1198.04
2022-01-11,1192.31
2022-01-12,1185.87
2022-01-13,1186.11
2022-01-14,1190.07
2022-01-17,1189.99
2022-01-18,1192.69
2022-01-19,1188.13
2022-01-20,1192.42
2022-01-21,1192.51
2022-01-24,1195.59
2022-01-25,1196.35
2022-01-26,1197.03
2022-01-27,1203.77
2022-01-28,1209.56
2022-01-31,1204.63
2022-02-01,1202.31
2022-02-02,1199.46
2022-02-03,1199.47
2022-02-04,1198.25
2022-02-07,1196.87
2022-02-08,1196.35
2022-02-09,1194.05
2022-02-10,1199.83
2022-02-11,1199.48
2022-02-14,1197.32
2022-02-15,1196.76
2022-02-16,1196.53
2022-02-17,1198.63
2022-02-18,1195.59
2022-02-21,1193.68
2022-02-22,1191.9
2022-02-23,1192.44
2022-02-24,1206.05
2022-02-25,1197.57
2022-02-28,1200.12
2022-03-01,1205.32
2022-03-02,1203.16
2022-03-03,1205.54
2022-03-04,1217.45
2022-03-07,1232.14
2022-03-08,1233.53
2022-03-09,1223.13
2022-03-10,1228.83
2022-03-11,1237.08
2022-03-14,1240.64
2022-03-15,1240.62
2022-03-16,1225.35
2022-03-17,1209.89
2022-03-18,1211.15
2022-03-21,1217.55
2022-03-22,1215.07
2022-03-23,1218.62
2022-03-24,1219.58
2022-03-25,1225.08
2022-03-28,1223.65
2022-03-29,1207.35
2022-03-30,1210.31
2022-03-31,1214.17
