날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 02월 07일,298.21,299.59,300.05,296.01,108.11M,-0.81%
2020년 02월 06일,300.65,294.74,300.98,294.32,110.22M,2.96%
2020년 02월 05일,292.02,293.57,294.26,290.3,102.64M,0.46%
2020년 02월 04일,290.68,285.19,291.38,285.11,105.45M,1.98%
2020년 02월 03일,285.05,280.17,286.24,279.78,111.06M,0.18%
2020년 01월 31일,284.53,290.24,291.47,284.53,101.46M,-1.33%
2020년 01월 30일,288.37,293.27,294.11,287.09,101.54M,-1.91%
2020년 01월 29일,293.98,294.38,295.67,292.45,85.73M,0.41%
2020년 01월 28일,292.77,294.98,296.3,291.3,130.17M,-3.16%
2020년 01월 23일,302.33,303.77,304.72,301.71,86.91M,-1.23%
2020년 01월 22일,306.08,301.79,306.52,301.16,79.33M,1.31%
2020년 01월 21일,302.11,304.94,306.09,301.85,67.63M,-1.14%
2020년 01월 20일,305.58,304.99,307.54,304.77,78.04M,0.75%
2020년 01월 17일,303.3,305.07,306.05,302.51,81.54M,0.17%
2020년 01월 16일,302.78,299.93,302.91,298.95,85.71M,1.01%
2020년 01월 15일,299.74,299.91,301.13,298.82,71.77M,-0.59%
2020년 01월 14일,301.53,302.2,303.61,300.69,92.12M,0.47%
2020년 01월 13일,300.13,296.62,300.31,296.53,81.68M,1.03%
2020년 01월 10일,297.06,294.8,297.17,294.17,94.16M,0.90%
2020년 01월 09일,294.41,293.83,294.41,292.1,111.79M,1.72%
2020년 01월 08일,289.42,288.94,291.01,287.3,124.53M,-0.62%
2020년 01월 07일,291.23,290.01,292.26,289.64,65.35M,0.97%
2020년 01월 06일,288.43,287.73,289.41,287.49,69.96M,-0.79%
2020년 01월 03일,290.74,293.1,294.88,289.04,79.77M,0.13%
2020년 01월 02일,290.35,294.19,294.57,289.96,66.16M,-1.16%
2019년 12월 30일,293.77,294.6,295.49,293.4,54.97M,-0.48%
2019년 12월 27일,295.2,292.37,296.95,291.28,77.51M,0.39%
2019년 12월 26일,294.06,293.12,294.07,291.79,68.48M,0.40%
2019년 12월 24일,292.9,295.18,295.25,292.47,60.61M,-0.67%
2019년 12월 23일,294.87,295.84,296.12,293.81,62.09M,-0.15%
2019년 12월 20일,295.31,295.58,295.86,293.95,75.97M,0.34%
2019년 12월 19일,294.31,295.06,295.84,292.82,70.19M,0.03%
2019년 12월 18일,294.22,294.31,295.85,293.05,76.91M,-0.06%
2019년 12월 17일,294.4,291.76,294.5,290.52,94.37M,1.60%
2019년 12월 16일,289.76,289.54,290.8,289.36,73.74M,-0.12%
2019년 12월 13일,290.11,289.34,290.11,288.32,99.62M,1.75%
2019년 12월 12일,285.11,282.62,285.43,282.62,133.65M,1.72%
2019년 12월 11일,280.28,279.19,281.03,278.45,66.85M,0.35%
2019년 12월 10일,279.31,276.8,279.75,276.62,56.67M,0.46%
2019년 12월 09일,278.03,278.31,278.75,277.02,70.52M,0.53%
2019년 12월 06일,276.56,275.19,277,274.75,70.11M,1.19%
2019년 12월 05일,273.3,275.65,276.63,272.53,66.51M,-0.31%
2019년 12월 04일,274.15,274.36,274.68,272.53,81.92M,-0.74%
2019년 12월 03일,276.19,274.93,276.63,273.88,67.28M,-0.45%
2019년 12월 02일,277.44,278.27,279.44,276.97,66.61M,0.24%
2019년 11월 29일,276.78,282.08,282.1,276.34,74.60M,-1.58%
2019년 11월 28일,281.23,281.23,282.8,281.05,61.62M,-0.57%
2019년 11월 27일,282.85,283.56,284.02,281.27,60.90M,0.36%
2019년 11월 26일,281.83,283.09,284.87,281.77,119.52M,-0.13%
2019년 11월 25일,282.19,281.77,283.53,281.48,64.51M,0.99%
2019년 11월 22일,279.43,278.57,279.89,278.14,74.35M,0.41%
2019년 11월 21일,278.28,281.89,282.33,276.98,81.75M,-1.39%
2019년 11월 20일,282.21,284.27,285.29,282,73.55M,-1.40%
2019년 11월 19일,286.23,285.74,286.34,283.73,68.17M,-0.33%
2019년 11월 18일,287.18,287.1,287.78,285.94,56.11M,-0.04%
2019년 11월 15일,287.29,283.85,287.72,283.3,71.65M,1.18%
2019년 11월 14일,283.93,281.9,283.93,281.1,79.76M,0.94%
2019년 11월 13일,281.28,282.28,282.49,280.62,60.13M,-0.84%
2019년 11월 12일,283.65,281.9,283.65,280.79,65.57M,1.00%
2019년 11월 11일,280.85,283.3,283.3,280.4,61.56M,-0.81%
2019년 11월 08일,283.13,285.81,286.12,282.57,73.68M,-0.44%
2019년 11월 07일,284.37,284.04,284.82,283.05,70.72M,-0.05%
2019년 11월 06일,284.52,284.31,286.43,283.7,77.95M,0.05%
2019년 11월 05일,284.38,282.99,284.46,282.27,76.36M,0.65%
2019년 11월 04일,282.54,279.9,282.77,279.9,77.00M,1.48%
2019년 11월 01일,278.43,276.17,278.55,275.59,58.54M,0.95%
2019년 10월 31일,275.82,276.84,279.04,275.82,78.34M,0.11%
2019년 10월 30일,275.51,277.49,277.49,274.95,72.53M,-0.73%
2019년 10월 29일,277.55,279.25,279.49,276.81,57.15M,-0.08%
2019년 10월 28일,277.78,278.16,279.42,277.29,59.07M,0.26%
2019년 10월 25일,277.07,277.6,277.67,275.7,58.28M,0.13%
2019년 10월 24일,276.7,277.7,277.84,274.31,73.68M,0.17%
2019년 10월 23일,276.23,276.83,277.29,275.34,65.29M,-0.43%
2019년 10월 22일,277.41,275.4,278.19,274.93,63.88M,1.32%
2019년 10월 21일,273.79,273.87,274.1,272.67,45.39M,0.36%
2019년 10월 18일,272.81,275.99,277.06,272.28,71.47M,-1.00%
2019년 10월 17일,275.57,275.92,276.68,274.62,53.87M,-0.27%
2019년 10월 16일,276.32,276.26,277.59,275.24,65.38M,0.72%
2019년 10월 15일,274.34,273.85,275.09,273.83,53.05M,0.04%
2019년 10월 14일,274.23,274.71,275.75,273.97,71.05M,1.08%
2019년 10월 11일,271.3,271.68,272.68,270.58,59.64M,0.93%
2019년 10월 10일,268.8,268.79,270.78,266.23,98.18M,-0.94%
2019년 10월 08일,271.36,268.9,271.51,267.97,75.08M,1.38%
2019년 10월 07일,267.67,269.12,269.75,266.83,53.57M,0.10%
2019년 10월 04일,267.39,268.14,270.16,267.39,62.88M,-0.43%
2019년 10월 02일,268.55,272.39,272.42,268.55,66.21M,-2.14%
2019년 10월 01일,274.42,273.43,275.38,272.81,52.63M,0.32%
2019년 09월 30일,273.55,270.61,273.85,270.06,54.69M,0.82%
2019년 09월 27일,271.33,273.32,273.4,270.52,57.74M,-1.30%
2019년 09월 26일,274.89,275.61,276.38,273.5,89.59M,0.17%
2019년 09월 25일,274.42,276.67,277.04,274.12,70.84M,-1.28%
2019년 09월 24일,277.97,276.41,278.17,275.55,68.27M,0.48%
2019년 09월 23일,276.65,275.86,277.11,275.64,60.19M,0.08%
2019년 09월 20일,276.44,275.01,276.67,274.46,74.03M,0.55%
2019년 09월 19일,274.92,273.11,276.15,273.03,70.50M,0.68%
2019년 09월 18일,273.06,271.88,273.72,271.04,67.60M,0.51%
2019년 09월 17일,271.68,271.46,272.26,270.9,73.74M,-0.12%
2019년 09월 16일,272.02,271.48,272.03,269.59,103.34M,0.44%
2019년 09월 11일,270.84,270.35,271.35,269.58,103.90M,0.77%
2019년 09월 10일,268.76,267.96,269.13,267.35,66.34M,0.51%
2019년 09월 09일,267.4,266.11,268.67,265.92,62.21M,0.70%
2019년 09월 06일,265.53,266.2,266.36,264.74,59.20M,0.41%
2019년 09월 05일,264.44,262.53,266,262.27,88.99M,1.05%
2019년 09월 04일,261.69,257.89,261.69,257.76,69.29M,1.33%
2019년 09월 03일,258.25,258.55,259.67,257.4,64.32M,-0.32%
2019년 09월 02일,259.08,258.25,259.74,257.8,54.89M,0.03%
2019년 08월 30일,259,256.85,259.61,256.72,94.16M,1.84%
2019년 08월 29일,254.31,255.68,256.28,253.6,64.85M,-0.48%
2019년 08월 28일,255.53,254.2,255.98,253.65,58.34M,0.80%
2019년 08월 27일,253.5,253.74,254.96,252.53,93.38M,0.52%
2019년 08월 26일,252.19,251.8,253.14,250.99,62.61M,-1.53%
2019년 08월 23일,256.11,255.11,256.88,254.91,54.78M,-0.07%
2019년 08월 22일,256.28,258.53,258.73,256.25,67.25M,-0.81%
2019년 08월 21일,258.38,257.15,259.49,257.11,65.48M,0.13%
2019년 08월 20일,258.05,255.53,258.62,254.74,81.69M,1.15%
2019년 08월 19일,255.11,255.2,255.84,254.25,66.02M,0.48%
2019년 08월 16일,253.9,252.76,253.94,251.46,71.83M,-0.38%
2019년 08월 14일,254.86,255.84,256.82,254.59,82.24M,0.80%
2019년 08월 13일,252.83,253.5,254.58,252.63,76.82M,-0.99%
2019년 08월 12일,255.35,255.57,256.43,254.43,69.38M,0.20%
2019년 08월 09일,254.85,255.13,256.15,254.41,117.69M,0.97%
2019년 08월 08일,252.4,254.11,255.33,252.37,163.71M,0.16%
2019년 08월 07일,252,254.46,254.9,251.08,90.74M,-0.56%
2019년 08월 06일,253.41,250.85,257.04,250.24,123.17M,-1.47%
2019년 08월 05일,257.19,261.1,261.4,256.76,131.04M,-2.21%
2019년 08월 02일,262.99,262.61,263.94,261.75,99.66M,-1.03%
2019년 08월 01일,265.73,264.97,267.44,264.47,72.58M,-0.23%
2019년 07월 31일,266.34,268.46,269.14,265,96.24M,-0.97%
2019년 07월 30일,268.95,268.69,269.79,268.33,64.53M,0.45%
2019년 07월 29일,267.75,271.21,271.91,267.07,78.75M,-1.65%
2019년 07월 26일,272.25,271.41,272.56,270.57,89.84M,-0.29%
2019년 07월 25일,273.04,274.08,274.62,271.25,95.65M,-0.07%
2019년 07월 24일,273.22,275.12,276.48,272.91,84.29M,-0.98%
2019년 07월 23일,275.92,274.93,276.56,274.84,95.08M,0.50%
2019년 07월 22일,274.55,273.9,275.35,273.57,60.91M,0.00%
2019년 07월 19일,274.55,272.71,274.95,272.21,87.94M,1.43%
2019년 07월 18일,270.67,271.05,271.63,269.73,80.14M,-0.30%
2019년 07월 17일,271.48,272.13,272.28,270.29,117.95M,-0.94%
2019년 07월 16일,274.05,272.79,274.54,272.14,137.05M,0.52%
2019년 07월 15일,272.64,272.06,273.38,270.99,83.61M,-0.01%
2019년 07월 12일,272.68,272.21,273.23,271.28,55.66M,0.33%
2019년 07월 11일,271.78,270.58,272.97,270.46,107.37M,1.13%
2019년 07월 10일,268.75,269.29,270.33,268.6,67.51M,0.38%
2019년 07월 09일,267.72,269.6,270.22,267.72,71.88M,-0.31%
2019년 07월 08일,268.55,271.38,271.67,268.38,75.10M,-2.11%
2019년 07월 05일,274.35,274.74,275.23,272.41,60.02M,-0.07%
2019년 07월 04일,274.54,273.18,274.61,271.93,77.52M,0.80%
2019년 07월 03일,272.37,275.57,276.69,271.9,97.52M,-1.30%
2019년 07월 02일,275.97,276.06,277.46,274.63,65.54M,-0.47%
2019년 07월 01일,277.27,279.59,279.68,276.85,74.36M,-0.08%
2019년 06월 28일,277.5,278.03,278.56,276.58,67.60M,-0.09%
2019년 06월 27일,277.75,275.47,278.63,275.09,66.30M,0.81%
2019년 06월 26일,275.53,275.21,276.36,274.66,58.82M,0.09%
2019년 06월 25일,275.28,275.33,277.02,274.19,60.51M,-0.11%
2019년 06월 24일,275.58,275.91,276.73,275.13,55.54M,0.04%
2019년 06월 21일,275.48,276.17,276.26,274.6,77.28M,-0.19%
2019년 06월 20일,276.01,274.63,276.09,274.43,55.34M,0.25%
2019년 06월 19일,275.31,274.4,275.6,274.08,69.73M,1.46%
2019년 06월 18일,271.36,269.77,271.87,269.77,65.72M,0.47%
2019년 06월 17일,270.09,269.83,271.59,269.14,57.06M,-0.14%
2019년 06월 14일,270.48,270.19,271.55,268.96,66.71M,-0.24%
2019년 06월 13일,271.13,271.96,272.46,268.38,95.80M,-0.59%
2019년 06월 12일,272.74,273.14,274.32,272,66.92M,-0.17%
2019년 06월 11일,273.21,271.48,273.69,271.24,61.24M,0.41%
2019년 06월 10일,272.1,270.32,272.2,268.68,60.89M,1.43%
2019년 06월 07일,268.27,267.97,269.63,266.27,67.97M,0.10%
2019년 06월 05일,267.99,270.1,270.46,267.46,67.51M,0.12%
2019년 06월 04일,267.66,267.84,268.47,266.72,70.29M,-0.19%
2019년 06월 03일,268.16,262.68,268.55,262.33,83.61M,1.62%
2019년 05월 31일,263.89,262.48,265.21,261.53,77.79M,-0.02%
2019년 05월 30일,263.93,261.58,264.23,261.58,70.34M,0.98%
2019년 05월 29일,261.37,264.1,264.1,260.22,82.79M,-1.26%
2019년 05월 28일,264.7,264.38,266.16,263.27,147.26M,0.11%
2019년 05월 27일,264.4,264.18,265.85,263.17,53.14M,-0.01%
2019년 05월 24일,264.42,264.7,266.11,263.1,67.23M,-0.74%
2019년 05월 23일,266.38,266.4,267.12,264.5,71.66M,-0.10%
2019년 05월 22일,266.65,267.01,267.6,263.95,61.66M,0.20%
2019년 05월 21일,266.12,265.25,268.55,264.79,81.02M,0.44%
2019년 05월 20일,264.96,265.9,267.65,264.33,64.23M,0.23%
2019년 05월 17일,264.35,267.85,268.06,263.94,75.10M,-0.62%
2019년 05월 16일,265.99,269.83,269.96,265.24,75.96M,-1.35%
2019년 05월 15일,269.64,268.42,271,267.62,77.02M,0.40%
2019년 05월 14일,268.57,266.03,270.42,265.55,82.19M,-0.06%
2019년 05월 13일,268.72,269.8,271.54,268.55,66.87M,-1.23%
2019년 05월 10일,272.06,273.37,274.32,269.71,89.44M,0.39%
2019년 05월 09일,271,278.83,279.63,271,124.01M,-3.27%
2019년 05월 08일,280.15,277.85,281.84,277.84,75.00M,-0.41%
2019년 05월 07일,281.31,280.89,281.66,278.95,97.72M,-0.83%
2019년 05월 03일,283.67,285.64,285.95,283.14,67.79M,-0.86%
2019년 05월 02일,286.12,283.37,286.87,283.14,84.18M,0.42%
2019년 04월 30일,284.92,286.25,286.59,282.61,77.99M,-0.65%
2019년 04월 29일,286.79,282,286.79,281.81,66.98M,1.94%
2019년 04월 26일,281.34,280.86,282.47,279.7,76.72M,-0.53%
2019년 04월 25일,282.83,282.8,284.22,281.9,74.58M,-0.31%
2019년 04월 24일,283.7,287.82,287.82,281.96,88.61M,-0.97%
2019년 04월 23일,286.47,285.85,286.83,285.42,67.38M,0.21%
2019년 04월 22일,285.87,286.06,287.59,284.52,55.19M,-0.01%
2019년 04월 19일,285.89,287.18,287.48,285.72,63.87M,0.02%
2019년 04월 18일,285.82,290.88,291.15,285.38,89.65M,-1.55%
2019년 04월 17일,290.33,290.68,291.21,289.84,72.67M,-0.10%
2019년 04월 16일,290.62,289.18,290.76,288.77,96.13M,0.43%
2019년 04월 15일,289.38,289.54,290.74,289.12,80.43M,0.35%
2019년 04월 12일,288.37,286.89,288.62,285.83,69.06M,0.33%
2019년 04월 11일,287.42,288.33,288.71,286.38,84.68M,-0.17%
2019년 04월 10일,287.92,285.44,288.01,285.1,75.08M,0.42%
2019년 04월 09일,286.71,286.51,288.02,285.38,66.23M,0.12%
2019년 04월 08일,286.38,287.78,287.83,285.09,64.57M,-0.10%
2019년 04월 05일,286.68,286.03,287.53,285.93,64.89M,0.19%
2019년 04월 04일,286.15,285.29,287.75,284.97,73.80M,0.18%
2019년 04월 03일,285.65,281.88,285.65,281.22,91.59M,1.39%
2019년 04월 02일,281.72,281.67,282.47,281,72.18M,0.50%
2019년 04월 01일,280.32,278.41,280.93,278.41,76.67M,1.39%
2019년 03월 29일,276.48,276.33,277.01,274.32,82.28M,0.51%
2019년 03월 28일,275.08,275.02,276.2,273.9,66.92M,-0.79%
2019년 03월 27일,277.28,277.01,278.16,274.87,67.77M,-0.12%
2019년 03월 26일,277.6,278.43,278.49,276.91,65.75M,0.05%
2019년 03월 25일,277.45,279.12,279.21,277.19,77.32M,-2.01%
2019년 03월 22일,283.13,283.92,284.55,282.09,117.73M,0.27%
2019년 03월 21일,282.38,281.14,284.39,280.63,97.09M,0.88%
2019년 03월 20일,279.92,278.84,280.07,276.34,61.17M,0.04%
2019년 03월 19일,279.82,280.3,280.4,278.63,55.39M,-0.04%
2019년 03월 18일,279.93,280.27,280.77,278.92,60.90M,0.02%
2019년 03월 15일,279.87,276.42,280.5,276.31,123.13M,1.17%
2019년 03월 14일,276.64,276.79,277.4,274.78,95.82M,0.23%
2019년 03월 13일,276,276.92,277.12,274.04,61.49M,-0.62%
2019년 03월 12일,277.73,277.41,278.48,276.94,63.96M,0.97%
2019년 03월 11일,275.06,275.5,276.28,273.88,64.83M,0.08%
2019년 03월 08일,274.84,277.18,278,274.84,71.64M,-1.45%
2019년 03월 07일,278.87,279.33,280.98,277.44,78.64M,-0.35%
2019년 03월 06일,279.85,280.09,280.26,278.72,75.23M,-0.21%
2019년 03월 05일,280.45,281.42,281.89,279.53,78.81M,-0.73%
2019년 03월 04일,282.51,286.12,286.68,282.16,107.55M,-0.45%
2019년 02월 28일,283.8,288.13,288.62,283.8,129.09M,-1.72%
2019년 02월 27일,288.76,288.9,289.41,288.09,72.74M,0.30%
2019년 02월 26일,287.89,288.52,289.2,287.06,81.33M,-0.38%
2019년 02월 25일,289,290.19,290.32,287.84,73.42M,0.09%
2019년 02월 22일,288.74,287.29,288.74,286.54,70.34M,0.11%
2019년 02월 21일,288.41,287.43,289.28,286.05,88.24M,0.00%
2019년 02월 20일,288.4,286.55,289.22,286.21,88.58M,1.22%
2019년 02월 19일,284.91,285.36,286.12,283.16,62.75M,-0.35%
2019년 02월 18일,285.9,285.6,287.02,284.64,73.48M,0.68%
2019년 02월 15일,283.98,286.42,286.42,282.81,77.19M,-1.63%
2019년 02월 14일,288.68,284.25,288.68,282.91,112.39M,1.30%
2019년 02월 13일,284.97,285.09,285.59,284.13,93.29M,0.45%
2019년 02월 12일,283.69,282.12,284.32,281.43,92.11M,0.56%
2019년 02월 11일,282.1,281.75,282.19,280.02,79.97M,0.22%
2019년 02월 08일,281.49,283.85,284.01,280.95,88.71M,-1.46%
2019년 02월 07일,285.65,287.54,287.67,284.97,100.69M,-0.05%
2019년 02월 01일,285.79,287.07,288.34,285.43,114.63M,-0.03%
2019년 01월 31일,285.89,288.85,288.87,285.89,153.50M,-0.25%
2019년 01월 30일,286.62,282.86,286.63,282.24,134.73M,1.28%
2019년 01월 29일,283,281.12,283,279.65,130.94M,0.48%
2019년 01월 28일,281.64,282.56,283.46,280.47,95.97M,-0.01%
2019년 01월 25일,281.67,277.3,281.72,277.04,115.51M,1.83%
2019년 01월 24일,276.61,274.1,276.64,273.74,132.86M,1.00%
2019년 01월 23일,273.87,271.35,274.51,271.03,99.96M,0.43%
2019년 01월 22일,272.71,274.08,274.6,271.45,68.87M,-0.47%
2019년 01월 21일,274,274.99,275.14,272.29,86.55M,0.04%
2019년 01월 18일,273.88,273.02,273.95,272.56,78.97M,0.74%
2019년 01월 17일,271.88,271.66,273.05,270.81,86.75M,0.24%
2019년 01월 16일,271.23,269.96,271.28,269.05,100.50M,0.48%
2019년 01월 15일,269.93,265.62,270.02,265.37,87.17M,1.86%
2019년 01월 14일,264.99,266.22,266.7,264.23,74.93M,-0.80%
2019년 01월 11일,267.13,266.58,267.58,265.56,81.08M,0.59%
2019년 01월 10일,265.55,265.73,266.85,264.61,99.83M,-0.02%
2019년 01월 09일,265.6,260.95,266.05,260.87,98.75M,2.29%
2019년 01월 08일,259.65,261.29,262.43,259.39,86.91M,-0.73%
2019년 01월 07일,261.57,261.11,263.13,260.76,92.32M,1.43%
2019년 01월 04일,257.89,255.62,258.12,254.55,91.20M,0.83%
2019년 01월 03일,255.77,258.19,258.7,255.35,90.52M,-0.95%
2019년 01월 02일,258.23,263.35,263.77,257.47,69.95M,-1.43%
